ecli,sentencia_ref,sentencia_nombre,sentencia_fecha,sentencia_año,legislacion_ref,legislacion_nombre,tipo_vinculo,articulos_aplicados,descripcion_vinculo
ECLI:EU:C:2022:833,C-129/21,Proximus (derecho de supresión en directorios telefónicos en línea),27/10/2022,2022,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 17 y 5.1.b) RGPD,El TJUE estableció que una persona que retira su consentimiento para aparecer en un directorio telefónico en papel no puede exigir automáticamente que todos los directorios en línea que reprodujeron esa información también supriman sus datos. El responsable original no tiene obligación de notificar a todos los terceros reproductores aunque debe hacer esfuerzos razonables.
ECLI:EU:C:2023:2,C-132/21,BE v NAIH (acumulación de remedios RGPD),12/01/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 77 78 y 79 RGPD,El TJUE declaró que los tres tipos de remedios del RGPD (reclamación ante autoridad supervisora,ECLI:EU:C:2023:2
ECLI:EU:C:2019:773,C-136/17,GC y otros (desindexación datos sensibles),24/09/2019,2019,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 9 y 17 RGPD,El TJUE estableció las condiciones del art. 17 RGPD (derecho al olvido) para datos de categorías especiales del art. 9 RGPD en motores de búsqueda.
ECLI:EU:C:2023:3,C-154/21,RW v Österreichische Post (destinatarios específicos en derecho de acceso),12/01/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 15.1.c) RGPD,El TJUE aclaró que en virtud del art. 15.1.c) RGPD los interesados tienen derecho a conocer los destinatarios específicos a quienes se han comunicado sus datos siempre que sea posible identificarlos. Sólo cuando no sea posible identificarlos podrá facilitarse información sobre categorías de destinatarios.
ECLI:EU:C:2024:857,C-169/23,Másdi (plazo de respuesta y remedios paralelos),04/10/2024,2024,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 12 y 77-79 RGPD,El TJUE aclaró que el interesado puede presentar simultáneamente una reclamación ante la autoridad supervisora y un recurso judicial sin que uno bloquee al otro. La autoridad supervisora debe investigar activamente la reclamación recibida con independencia de los procedimientos judiciales paralelos en curso.
ECLI:EU:C:2022:124,C-175/20,SS SIA v Valsts ieņēmumu dienests (autoridad fiscal y acceso a datos),24/02/2022,2022,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 5.1.c) y 6.1 RGPD,El TJUE analizó la proporcionalidad de una solicitud de la administración tributaria letona que exigía a un operador de plataformas proporcionar datos masivos de usuarios de forma periódica. Aclaró los límites del principio de minimización frente a las necesidades de control fiscal.
ECLI:EU:C:2019:821,C-18/18,Glawischnig-Piesczek v Facebook (contenido ilegal),03/10/2019,2019,Dir. 2000/31/CE,Directiva de Comercio Electrónico,Interpretación,Arts. 14 y 15 Dir. 2000/31/CE,El TJUE interpretó los límites de la exención de responsabilidad de los intermediarios de la Directiva de Comercio Electrónico frente a obligaciones de retirada de contenidos.
ECLI:EU:C:2019:821,C-18/18,Glawischnig-Piesczek v Facebook (contenido ilegal),03/10/2019,2019,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Vinculación indirecta,Art. 17 RGPD,La sentencia tiene relación con el derecho de supresión del RGPD al abordar la eliminación de contenidos con datos personales difamatorios en plataformas digitales.
ECLI:EU:C:2024:551,C-182/22 y C-189/22,Scalable Capital (ciberataque y miedo),20/06/2024,2024,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 82 y 32 RGPD,El TJUE reconoció que el miedo fundado al uso indebido de datos robados en un ciberataque (art. 32 RGPD) puede constituir daño no material indemnizable bajo el art. 82 RGPD.
ECLI:EU:C:2024:854,C-200/23,Agentsia po vpisvaniyata v OL (registro mercantil y pérdida de control de datos),04/10/2024,2024,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 82 RGPD,El TJUE estableció que la pérdida de control sobre los propios datos personales aunque sea por un período limitado puede constituir daño no material indemnizable bajo el art. 82 RGPD. El afectado debe demostrar que sufrió ese daño efectivo aunque sea mínimo.
